pi,country,region,score.prc,score.temp,score
IS28449,Yemen,West Asia,0,0.727272727,0.727272727
IS28451,Yemen,West Asia,0,0.727272727,0.727272727
IS28453,Yemen,West Asia,0,0,0
IS28614,Yemen,West Asia,0,0,0
IS28688,Yemen,West Asia,0,0,0
IS28740,Yemen,West Asia,0,0,0
IS28747,Yemen,West Asia,0,0.272727273,0.272727273
IS28749,Yemen,West Asia,0,0,0
IS28849,Yemen,West Asia,0,0.090909091,0.090909091
IS28966,Yemen,West Asia,0,0,0
IS28991,Yemen,West Asia,0,0,0
IS29053,Yemen,West Asia,0,0,0
IS29091,Yemen,West Asia,0,0,0
IS29100,Yemen,West Asia,0,0.545454545,0.545454545
IS29187,Eswatini,South Africa,0.333333333,0,0.333333333
IS29228,Eswatini,South Africa,0,0,0
IS29233,Eswatini,South Africa,0.333333333,0,0.333333333
